Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
6250	178	2	0	13	6	0	0	21769	24	0	0	14594	12	17190	0	19630	6	23186	0	15566	15055
6500	165	7	0	3	6	0	0	22641	62	0	0	14883	11	17917	0	22805	9	24142	0	16019	15689
6750	166	9	0	3	17	0	0	23654	49	1	0	15539	17	18691	0	18762	6	24701	0	16769	16465
7000	176	5	0	2	5	0	0	24774	83	2	0	16149	11	19431	0	19237	7	26287	0	17289	17288
7250	174	5	0	0	4	0	0	26141	77	0	0	16665	9	20181	0	20224	7	26917	0	18121	17787
7500	223	6	0	0	6	0	0	27397	104	0	0	17363	12	20943	0	20869	7	27905	0	18968	18430
7750	255	9	0	1	5	0	1	29346	87	0	0	18170	10	21571	0	21964	28	28719	0	19215	18951
8000	228	9	0	1	23	0	14	31319	100	0	0	18829	13	22405	0	28077	7	29739	0	19947	19471
8250	263	28	0	1	10	0	0	35512	112	0	0	19477	9	22901	0	24741	457	30645	0	20552	20388
8500	349	14	0	0	8	0	0	40263	174	0	0	20329	12	23726	0	25036	6	31428	0	21659	20744
8750	219	26	0	2	5	0	0	41317	76	0	0	21109	12	24329	0	26775	7	33383	0	22099	21532
9000	216	16	0	1	12	0	0	37806	70	3	0	22386	9	25022	0	29071	8	33600	0	22507	21946
9250	216	13	0	1	2	0	0	48719	45	5	0	22745	14	25734	0	29315	6	34489	0	23210	22652
9500	242	14	0	1	4	0	0	42476	46	0	0	23436	7	26484	0	30412	15	35102	0	23666	23484
9750	258	18	15	2	4	0	0	48513	72	0	0	25070	9	27226	0	32553	6	36337	0	24494	23725
10000	253	12	0	2	7	0	2	48713	62	0	0	25171	9	27892	0	33857	8	40790	0	25091	24660
10250	249	17	0	6	8	0	0	52057	125	1	0	26916	8	28613	0	37612	8	38248	0	25609	25454
10500	259	47	0	1	6	0	0	57201	1477	1	0	27644	14	29366	0	37258	7	39199	0	27128	25949
10750	247	17	0	2	10	0	0	59496	38	1	0	28817	9	30139	0	40156	10	40803	0	27156	26922
11000	285	45	0	2	6	1	0	65461	62	0	0	30081	7	31026	0	42097	7	43248	0	27841	27156
11250	258	18	0	9	7	2	0	70857	57	1	0	31623	27	31981	0	44675	8	42779	0	28441	27912
11500	272	18	0	9	5	0	0	74092	63	0	0	33703	7	33815	0	46996	7	44058	0	33372	30308
11750	251	22	0	1	6	0	0	81369	68	0	0	35755	8	32990	0	48999	7	44702	0	30057	29415
12000	244	20	0	4	7	0	0	87348	82	0	0	36007	12	34112	0	51757	12	45503	0	30688	29877
12250	235	23	0	2	5	0	0	90105	84	0	0	37781	21	34643	0	53631	7	46132	0	30946	30601
12500	245	21	0	2	10	0	1	96459	84	0	0	40355	10	35272	0	59093	8	63550	0	31580	31111
12750	211	18	0	19	21	0	0	108049	72	0	0	41662	8	37821	0	59899	7	49129	0	32225	31925
13000	211	50	0	1	5	0	0	117711	85	0	0	44207	6	37003	0	62759	8	51134	0	33360	33253
13250	256	27	0	3	9	0	0	118057	75	1	0	51378	7	37900	0	73902	6	50504	0	34442	33357
13500	242	30	0	2	6	0	1	123317	60	1	0	51324	12	39091	0	69394	6	58575	0	50834	34143
13750	223	29	0	4	1	0	0	134556	48	0	0	49520	6	39602	0	71512	8	55830	0	35312	34663
14000	230	28	0	1	4	1	0	150709	70	0	0	55584	8	40858	0	74635	7	74338	0	36476	35398
14250	279	33	0	2	4	0	2	148329	11	0	0	54978	8	41535	0	77073	13	75799	0	36899	36252
14500	288	34	0	1	11	0	0	150157	21	0	0	59060	9	41337	0	81038	21	64779	0	38091	36822
14750	290	35	0	2	5	0	0	161742	23	1	0	61466	7	41874	0	86110	12	59745	0	38645	37212
15000	255	27	0	3	6	33	0	167737	11	0	0	61892	16	46187	0	88122	9	66273	0	39069	37806
15250	279	32	0	1	8	0	0	171639	21	0	0	62953	10	49376	0	90906	21	58955	0	39370	38728
15500	282	51	0	0	7	0	0	176025	14	0	0	66269	9	47469	0	94546	23	79082	0	39935	39623
15750	282	31	0	2	5	0	0	182475	26	1	0	67979	11	49052	0	96265	18	83927	0	41320	40734
16000	248	32	0	3	6	0	0	186813	63	0	0	71081	6	50486	0	106897	23	68187	0	42265	40932
16250	156	39	0	6	6	0	0	200814	50	3	0	73038	9	53245	0	110707	12	63268	0	43374	43233
16500	139	39	0	5	7	0	0	199828	79	1	0	76733	6	53767	0	108283	1274	65146	0	43036	42310
16750	187	37	0	3	3	0	2	204359	101	1	0	78758	7	56466	0	111570	15	66105	0	47107	44940
17000	218	50	0	3	6	0	0	208876	100	0	0	90222	12	58447	0	117636	13	67314	0	45057	43914
17250	262	40	0	5	13	0	0	215710	71	0	0	90932	7	74711	0	119121	18	68054	0	46911	45149
17500	246	59	0	3	62	0	0	218724	61	0	0	92973	5	63861	0	123516	12	69457	0	46160	47946
17750	235	45	1	3	9	0	0	222064	64	0	0	93876	9	67246	0	123854	20	73368	0	49032	46460
18000	184	53	0	2	3	0	0	226369	63	1	0	99315	3	66925	0	131139	18	71673	0	48111	47192
18250	181	76	0	10	3	0	0	232566	68	2	0	103459	5	71331	0	135508	16	73547	0	51144	47594
18500	186	57	0	13	4	0	0	239076	57	1	0	108672	11	76279	0	136158	16	74307	0	50039	48584
18750	151	93	0	2	8	0	0	240939	60	1	0	107001	10	81875	0	140341	16	75315	0	50609	49045
19000	168	54	0	1	3	0	0	245298	63	1	0	110561	7	86236	0	144265	14	81559	0	61397	55115
19250	154	82	0	1	3	0	0	247131	76	9	0	115629	9	94409	0	149513	14	80721	0	71165	50999
19500	151	69	0	16	5	0	0	252749	66	7	0	127019	8	107912	0	149917	19	78914	0	55039	51407
19750	155	76	0	2	6	0	0	254356	78	2	0	129538	8	107075	0	157992	18	79923	0	54494	52396
20000	168	92	0	1	7	0	0	262033	75	4	0	133641	6	125865	0	165044	14	81244	0	64700	53802
20250	171	83	0	2	8	0	0	259673	71	1	0	136784	17	145401	0	160030	23	82946	0	56200	54403
20500	148	226	0	1	3	0	1	266685	66	0	0	138542	10	160955	0	166322	50	87953	0	57750	54722
20750	153	102	0	0	6	0	0	268125	96	1	0	145238	7	188740	0	168808	13	84759	0	58318	55352
21000	175	75	0	0	4	0	0	271962	3163	1	0	148174	18	186834	0	173596	34	87182	0	59215	56584
21250	201	84	0	0	3	0	0	280266	47	1	0	161629	8	208087	0	178032	26	87150	0	60320	58635
21500	157	64	0	5	7	0	0	277913	31	1	0	168859	13	263980	0	186130	32	87907	0	60591	58033
21750	196	40	0	4	8	0	0	281318	37	0	0	179098	6	274340	0	185146	15	101776	0	62284	59192
22000	369	57	0	0	3	0	0	283693	18	0	0	169703	13	297175	2	206031	14	91584	0	62727	60900
22250	313	73	0	0	6	0	0	290104	49	13	0	172781	7	315095	0	193062	15	93440	0	64223	71818
22500	243	62	0	1	4	0	0	295693	43	0	0	179603	8	332185	0	196844	16	93798	0	64977	62403
22750	169	71	0	0	7	0	0	292756	79	6	0	198573	6	340568	0	202355	15	95181	0	65340	62418
23000	158	85	1	0	6	0	0	298872	57	2	0	199774	9	351606	0	202044	19	98568	0	66871	62761
23250	131	78	0	1	6	0	0	301190	78	0	0	200751	5	362777	0	205163	10	98711	0	67499	68583
23500	127	84	1	1	6	0	0	304502	76	3	0	205767	5	370724	0	225735	8	101468	0	67867	65903
23750	125	83	1	2	5	0	0	308095	65	1	0	205428	6	379592	0	220754	10	99824	0	70050	65640
24000	136	73	0	1	4	0	0	314553	38	2	0	222721	9	386519	0	219792	37	101406	0	70638	68612
24250	167	101	0	2	7	0	0	316839	17	1	0	225662	4	394155	0	222962	12	105972	0	71249	67018
24500	126	87	0	0	5	0	0	319815	18	1	0	229734	9	405298	0	225093	15	105809	0	71399	68433
24750	150	93	0	0	5	0	0	323184	17	0	0	228074	6	409007	0	228245	9	111216	0	73119	69664
25000	146	105	0	2	5	0	0	324030	12	2	0	240398	14	389996	0	235808	13	107608	0	73100	72021
25250	151	119	0	1	9	0	0	326076	12	0	0	234702	10	378112	0	236166	18	108155	0	73799	71092
25500	271	90	0	0	5	0	0	332113	16	1	0	249805	148	356968	0	240557	16	110783	0	75427	72818
25750	300	87	0	2	6	0	0	333097	10	1	0	256394	7	356843	0	243049	16	110134	0	89736	72580
26000	338	79	0	0	10	0	0	335961	14	1	0	267123	6	389215	0	247171	12	112646	0	81530	74248
26250	332	80	0	1	8	0	0	343670	17	1	0	271651	7	395904	0	250358	19	115206	0	78718	74265
26500	240	87	0	1	7	1	0	343797	21	0	0	277989	5	422048	15	251994	21	119774	14	81464	75309
26750	191	105	0	0	8	0	0	343124	19	1	0	278083	10	406092	0	257962	17	118095	0	80179	76832
27000	193	94	0	4	6	0	0	351827	21	1	0	296441	5	429418	0	266259	13	119014	0	82476	76848
27250	190	88	0	1	5	0	0	389377	22	1	0	296777	9	446997	0	266869	13	118669	0	83999	78038
27500	179	84	0	2	5	0	0	356023	34	0	0	295741	125	468484	0	267242	17	121081	0	84519	90133
27750	249	71	0	4	3	0	0	358049	19	1	0	306425	17	472616	0	271407	17	122879	0	84955	79700
28000	267	89	0	0	7	0	0	361777	39	1	0	313617	17	480064	0	277856	17	124053	0	86148	80906
28250	282	78	0	1	12	0	0	364788	10	1	0	313515	22	477163	0	285453	24	125503	0	90137	87235
28500	258	83	0	1	5	0	0	367067	10	0	0	319394	10	483910	0	283336	14	125402	0	87023	83031
28750	250	101	0	2	30	0	0	370240	14	0	0	329605	4	494471	0	291022	16	130406	0	93202	81904
29000	224	98	0	3	8	0	0	375218	7	1	0	334084	11	489447	0	288944	12	130271	0	89707	86045
29250	260	105	0	3	4	0	0	379133	13	2	0	340001	11	494239	0	291467	16	129257	0	91418	84128
29500	276	90	0	3	7	0	0	379552	9	0	0	349775	20	508517	0	296332	19	131538	0	91645	85131
29750	242	95	0	0	4	0	0	383616	16	0	0	350197	10	512701	0	303045	19	132983	0	91925	87545
30000	242	84	0	5	5	0	0	386242	13	0	0	358679	9	498448	0	303063	14	134074	0	94469	86726
30250	231	102	0	1	6	0	0	391415	20	1	0	367494	41	517099	0	306885	27	135039	0	93702	87656
30500	230	112	0	3	9	0	0	393847	12	0	0	366295	13	521572	0	310122	16	137210	0	97079	117663
30750	244	134	0	3	2	0	0	394892	11	1	0	372308	5	523557	0	313286	12	140638	0	95825	89025
31000	235	96	0	1	12	0	0	399668	16	23	0	382573	9	529577	0	316559	15	140286	0	99063	115673
31250	246	112	0	1	7	0	0	402696	18	1	0	357353	7	533478	0	321364	13	141971	0	100574	98969
31500	287	92	0	1	19	0	0	408764	47	0	0	391669	6	537596	0	324842	23	143068	0	120493	91531
31750	245	127	0	2	6	0	0	405402	40	0	0	349118	6	540930	0	326231	13	144296	0	144488	97003
32000	225	139	0	1	12	0	0	407266	12	0	0	398138	5	545486	0	333370	16	144674	2	101343	94964
32250	224	115	0	0	9	0	0	415242	15	1	0	406197	4	548883	0	333834	12	162942	0	102182	95989
32500	243	106	0	1	4	0	0	414351	10	0	0	408798	7	555102	0	337618	14	150113	0	102823	95601
32750	270	85	0	2	11	0	0	435817	15	0	0	415409	10	557628	0	344007	20	148196	0	104523	97196
33000	286	101	0	1	7	0	0	456400	14	1	0	374243	7	561130	0	343866	1966	148895	0	105543	97487
33250	308	108	0	3	4	0	0	426163	15	0	0	425466	6	564659	0	347892	15	148080	0	107934	100823
33500	247	110	0	2	8	0	0	441868	18	0	0	428747	6	568947	0	351201	16	157598	0	112150	99918
33750	258	125	0	3	6	0	0	441008	11	1	0	428238	15	561003	0	353502	15	158607	0	107161	102992
